element_type,element_index,from_bus,to_bus,r_pu,x_pu,g,beta,x_was_negative
line,25,10,12,0.008,0.034,6.557377049180327,27.86885245901639,False
line,26,11,19,0.002,0.015,8.733624454148472,65.50218340611355,False
line,27,12,18,0.006,0.034,5.033557046979865,28.523489932885905,False
line,28,13,14,0.013999999999999999,0.042,7.142857142857142,21.42857142857143,False
line,29,14,30,0.065,0.24800000000000003,0.9889090051575407,3.7730682042933865,False
line,30,14,73,0.099,0.24800000000000003,1.3884019353481523,3.478016969356988,False
line,31,14,74,0.096,0.363,0.680923502500266,2.5747419938291305,False
line,32,15,35,0.002,0.022000000000000002,4.098360655737705,45.08196721311475,False
line,33,17,19,0.002,0.018000000000000002,6.097560975609755,54.8780487804878,False
line,34,17,71,0.013,0.08,1.978992236261227,12.178413761607551,False
line,35,18,20,0.016,0.033,11.895910780669144,24.53531598513011,False
line,36,18,25,0.06899999999999999,0.186,1.75318240719567,4.7259699672231115,False
line,37,19,22,0.004,0.034,3.41296928327645,29.01023890784983,False
line,38,20,21,0.052,0.111,3.46089850249584,7.387687188019966,False
line,39,21,23,0.019,0.039,10.095642933049946,20.722635494155153,False
line,40,22,230,0.006999999999999999,0.068,1.497967044725016,14.551679863043013,False
line,41,23,24,0.036000000000000004,0.071,5.680921571721636,11.204039766451002,False
line,42,24,25,0.045,0.12,2.7397260273972606,7.305936073059361,False
line,43,24,231,0.043,0.13,2.2934556509680513,6.933703130833644,False
line,44,26,31,0.0025,0.012,16.638935108153078,79.86688851913478,False
line,45,26,33,0.006,0.028999999999999998,6.84150513112885,33.067274800456104,False
line,46,26,34,0.006999999999999999,0.043,3.68809272918862,22.655426765015807,False
line,47,27,35,0.001,0.008,15.384615384615387,123.0769230769231,False
line,48,28,59,0.012,0.06,3.2051282051282053,16.025641025641026,False
line,49,28,62,0.006,0.013999999999999999,25.862068965517246,60.3448275862069,False
line,50,28,63,0.01,0.028999999999999998,10.626992561105208,30.8182784272051,False
line,51,29,72,0.004,0.027,5.369127516778525,36.24161073825504,False
line,52,30,31,0.008,0.047,3.5195776506819185,20.67751869775627,False
line,53,30,33,0.022,0.064,4.8034934497816595,13.973799126637555,False
line,54,30,34,0.01,0.036000000000000004,7.163323782234955,25.78796561604584,False
line,55,30,42,0.017,0.08099999999999999,2.4817518248175188,11.824817518248176,False
line,56,30,73,0.102,0.254,1.361452215696743,3.390282968499733,False
line,57,30,74,0.047,0.127,2.5629839677173085,6.925509870214855,False
line,58,31,34,0.008,0.037,5.582693649685974,25.81995812979763,False
line,59,31,36,0.032,0.08700000000000001,3.723961363900849,10.124519958105434,False
line,60,32,35,0.0006,0.0064,14.520813165537268,154.88867376573089,False
line,61,33,41,0.026,0.154,1.0659232535257461,6.313545424729419,False
line,62,34,42,0.065,0.191,1.5968161941728494,4.6921829705694496,False
line,63,34,43,0.031000000000000003,0.08900000000000001,3.490204908804323,10.020265705922089,False
line,64,35,39,0.002,0.013999999999999999,10.000000000000002,70.00000000000001,False
line,65,36,37,0.026,0.07200000000000001,4.436860068259385,12.286689419795222,False
line,66,36,41,0.095,0.262,1.2231392189934205,3.373289214487118,False
line,67,36,45,0.013,0.039,7.692307692307692,23.076923076923077,False
line,68,37,40,0.027,0.084,3.468208092485549,10.789980732177264,False
line,69,37,46,0.027999999999999997,0.084,3.571428571428571,10.714285714285715,False
line,70,38,51,0.006999999999999999,0.041,4.0462427745664735,23.699421965317917,False
line,71,38,61,0.009000000000000001,0.054,3.0030030030030037,18.01801801801802,False
line,72,39,67,0.005,0.041999999999999996,2.7948574622694244,23.476802683063163,False
line,73,40,60,0.052,0.145,2.1914113531965107,6.110666273336423,False
line,74,40,91,0.043,0.118,2.726177645343308,7.481138654663032,False
line,75,41,86,0.024999999999999998,0.062000000000000006,5.594092638174087,13.873349742671738,False
line,76,42,43,0.031000000000000003,0.094,3.164233949168113,9.594773910380729,False
line,77,43,44,0.037,0.109,2.792452830188679,8.226415094339623,False
line,78,44,47,0.027,0.08,3.7873474540608782,11.221770234254453,False
line,79,45,46,0.024999999999999998,0.073,4.198857910648304,12.260665099093048,False
line,80,46,47,0.035,0.10300000000000001,2.957579854656075,8.703735000845022,False
line,81,47,48,0.065,0.16899999999999998,1.9825535289452818,5.154639175257732,False
line,82,48,49,0.046,0.08,5.401596993893847,9.39408172851104,False
line,83,48,54,0.159,0.537,0.5069344811095169,1.7120994739359157,False
line,84,49,50,0.009000000000000001,0.026,11.889035667107002,34.34610303830912,False
line,85,50,52,0.002,0.013,11.5606936416185,75.14450867052024,False
line,86,51,53,0.009000000000000001,0.065,2.0901068276823036,15.095215977705525,False
line,87,53,55,0.016,0.10499999999999998,1.4183139792571586,9.307685488875101,False
line,88,53,122,0.001,0.006999999999999999,20.000000000000004,140.00000000000003,False
line,89,54,235,0.0265,0.172,0.8749845226794338,5.679144826447645,False
line,90,56,189,0.051,0.23199999999999998,0.9038546743464777,4.111652636242801,False
line,91,56,65,0.051,0.157,1.8715596330275228,5.761467889908257,False
line,92,57,58,0.032,0.09999999999999999,2.902757619738752,9.0711175616836,False
line,93,57,236,0.02,0.1234,1.27979031915411,7.896306269180858,False
line,94,58,59,0.036000000000000004,0.131,1.950479492875332,7.097578154629679,False
line,95,58,60,0.034,0.099,3.1030391530528427,9.035319886830337,False
line,96,59,63,0.018000000000000002,0.08700000000000001,2.280501710376283,11.022424933485366,False
line,97,59,237,0.0256,0.19299999999999998,0.6753840455293272,5.091762530748442,False
line,98,60,62,0.021,0.056999999999999995,5.691056910569107,15.447154471544717,False
line,99,60,65,0.018000000000000002,0.052,5.944517833553501,17.17305151915456,False
line,100,61,72,0.004,0.027,5.369127516778525,36.24161073825504,False
line,101,61,239,0.0286,0.2013,0.6918297566621874,4.869417133430011,False
line,102,62,63,0.016,0.043,7.600950118764847,20.427553444180525,False
line,103,63,64,0.001,0.006,27.027027027027028,162.16216216216216,False
line,104,63,66,0.013999999999999999,0.07,2.7472527472527464,13.736263736263735,False
line,105,63,238,0.0891,0.26759999999999995,1.12007041735634,3.3639825329355393,False
line,106,63,240,0.0782,0.2127,1.5226885461303556,4.141634958592412,False
line,107,64,65,0.006,0.022,11.53846153846154,42.30769230769231,False
line,108,64,68,0.0,0.036000000000000004,0.0,27.777777777777775,False
line,109,65,189,0.099,0.375,0.6581309082206533,2.492920106896414,False
line,110,66,189,0.022,0.107,1.8436269169529875,8.966730914271348,False
line,111,67,172,0.0034999999999999996,0.033,3.1782065834279223,29.96594778660613,False
line,112,67,173,0.0034999999999999996,0.033,3.1782065834279223,29.96594778660613,False
line,113,69,70,0.008,0.064,1.9230769230769234,15.384615384615387,False
line,114,70,71,0.012,0.093,1.3647219379051518,10.576595018764927,False
line,115,70,233,0.006,0.048,2.564102564102564,20.51282051282051,False
line,116,73,75,0.047,0.119,2.8711056811240074,7.269395235186317,False
line,117,74,76,0.032,0.17400000000000002,1.0223642172523961,5.559105431309904,False
line,118,75,77,0.09999999999999999,0.253,1.351187017795133,3.418503155021687,False
line,119,75,78,0.022,0.077,3.4305317324185247,12.006861063464836,False
line,120,76,83,0.019,0.14400000000000002,0.9006019813243586,6.825615016353035,False
line,121,76,85,0.017,0.092,1.9421912487147268,10.510682051867933,False
line,122,77,78,0.278,0.42700000000000005,1.0708246505375305,1.6447558481277897,False
line,123,78,81,0.022,0.053,6.680838141512298,16.094746431825083,False
line,124,78,82,0.038,0.092,3.835284618490109,9.285425918449738,False
line,125,78,83,0.048,0.122,2.79264603211543,7.097975331626717,False
line,126,79,81,0.024,0.064,5.136986301369864,13.698630136986301,False
line,127,79,82,0.034,0.121,2.1523074001392675,7.659682218142686,False
line,128,80,86,0.053,0.135,2.5197299610154986,6.418180089379101,False
line,129,80,87,0.002,0.004,100.00000000000001,200.00000000000003,False
line,130,80,88,0.045,0.354,0.35338186444271685,2.779937333616039,False
line,131,80,89,0.049999999999999996,0.17400000000000002,1.5255064681474244,5.308762509153039,False
line,132,81,82,0.016,0.038,9.411764705882353,22.35294117647059,False
line,133,82,84,0.043,0.064,7.232968881412952,10.765349032800673,False
line,134,83,85,0.019,0.062000000000000006,4.518430439952437,14.74435196195006,False
line,135,84,87,0.076,0.13,3.3515611218909855,5.732933497971423,False
line,136,84,232,0.044,0.12400000000000001,2.541589648798521,7.162661737523106,False
line,137,85,86,0.012,0.088,1.521298174442191,11.156186612576066,False
line,138,85,89,0.157,0.4000000000000001,0.8502618481551482,2.166272224599104,False
line,139,87,234,0.074,0.208,1.5182601559294213,4.267542059909725,False
line,140,88,89,0.07,0.184,1.806171947569409,4.74765197646816,False
line,141,88,91,0.09999999999999999,0.274,1.1754196248060556,3.2206497719685925,False
line,142,88,92,0.109,0.39299999999999996,0.6553237539830459,2.3627728010581377,False
line,143,89,90,0.142,0.404,0.7743483476933143,2.2030755807612605,False
line,144,90,92,0.017,0.042,8.280565026790063,20.45786653677545,False
line,145,93,100,0.0036000000000000003,0.0199,8.802601657823311,48.65882583074553,False
line,146,94,98,0.002,0.10490000000000001,0.18168588146268033,9.529424482717584,False
line,147,95,96,0.0001,0.0018000000000000002,30.769230769230763,553.8461538461538,False
line,148,96,97,0.0,0.027100000000000003,0.0,36.90036900369003,False
line,149,96,244,0.0,0.6163,0.0,1.6225864027259453,False
line,150,244,98,0.0,-0.3696999999999999,0.0,2.7048958615093324,True
line,151,96,99,0.0021999999999999997,0.2915,0.02588933087729881,3.4303363412420924,False
line,152,97,98,0.0,0.0339,0.0,29.498525073746315,False
line,153,97,99,0.0,0.0582,0.0,17.18213058419244,False
line,154,100,101,0.0808,0.2344,1.31441957313899,3.8131181676210306,False
line,155,100,103,0.09649999999999999,0.3669,0.6704747781284318,2.5491937419204316,False
line,156,101,102,0.036000000000000004,0.1076,2.796385826673793,8.358086526391668,False
line,157,101,103,0.047599999999999996,0.1414,2.138391677882741,6.352281160769318,False
line,158,103,104,0.0006000000000000001,0.019700000000000002,1.5446003346634056,50.71437765478182,False
line,159,105,106,0.005900000000000001,0.0577,1.7538123123569456,17.15168990220267,False
line,160,105,112,0.0049,0.0336,4.249893752656184,29.142128589642404,False
line,161,105,146,0.005900000000000001,0.0577,1.7538123123569456,17.15168990220267,False
line,162,106,108,0.0078,0.0773,1.29221868978965,12.806218553941019,False
line,163,106,111,0.0026,0.0193,6.855636123928805,50.88991430454844,False
line,164,107,108,0.007600000000000001,0.0752,1.3303458899313823,13.16342248984736,False
line,165,107,111,0.0021,0.0186,5.993663841082285,53.08673687815739,False
line,166,108,110,0.0016,0.016399999999999998,5.892751915144374,60.400707130229826,False
line,167,108,129,0.0017,0.0165,6.178672675728718,59.969470087955216,False
line,168,108,145,0.0079,0.0793,1.2439181848241985,12.486419247665687,False
line,169,108,146,0.0078,0.0784,1.2565647453039919,12.630086670747817,False
line,170,111,115,0.0017,0.0117,12.161968808127057,83.70296179710975,False
line,171,111,146,0.0026,0.0193,6.855636123928805,50.88991430454844,False
line,172,111,147,0.0021,0.0186,5.993663841082285,53.08673687815739,False
line,173,112,113,0.0043,0.0293,4.903190494652102,33.410111975187576,False
line,174,112,162,0.0039,0.0381,2.6588129422833062,25.97455720538307,False
line,175,113,114,0.0091,0.062299999999999994,2.2956030372594034,15.716051562775913,False
line,176,114,115,0.012499999999999999,0.08900000000000001,1.5475564084310869,11.01860162802934,False
line,177,114,130,0.0056,0.039,3.6074106521683116,25.12303847045788,False
line,178,115,118,0.0015,0.011399999999999999,11.345586566825506,86.22645790787384,False
line,179,115,159,0.0005,0.0034,42.337002540220155,287.89161727349705,False
line,180,115,164,0.0007,0.015099999999999999,3.0634573304157557,66.08315098468273,False
line,181,115,166,0.0005,0.0034,42.337002540220155,287.89161727349705,False
line,182,117,150,0.0562,0.2248,1.0466820180029306,4.186728072011722,False
line,183,118,119,0.012,0.08360000000000001,1.6823310378860947,11.720239563939794,False
line,184,118,120,0.015200000000000002,0.11320000000000001,1.1651723841879973,8.677468019084296,False
line,185,118,123,0.0468,0.3369,0.4045228769355837,2.912046094863208,False
line,186,118,124,0.043,0.3031,0.45882029193561447,3.234149546178715,False
line,187,118,125,0.0489,0.3492,0.3933022793435471,2.808612596048398,False
line,188,118,160,0.0013,0.0089,16.06922126081582,110.01236093943139,False
line,189,119,124,0.0291,0.2267,0.5570476093851994,4.3396114449355565,False
line,190,120,121,0.006,0.056999999999999995,1.8264840182648405,17.351598173515985,False
line,191,121,123,0.0075,0.0773,1.2434635267278342,12.815964082141543,False
line,192,121,127,0.0127,0.09089999999999998,1.5075794446884538,10.790470198596884,False
line,193,123,124,0.0085,0.0588,2.4081434913547652,16.658686740195314,False
line,194,123,127,0.0218,0.1511,0.935363386530338,6.483183839666702,False
line,195,124,125,0.0073,0.0504,2.8147833966338274,19.433573039773275,False
line,196,130,131,0.0137,0.09570000000000001,1.4658395194614267,10.239477519157557,False
line,197,131,139,0.0055,0.028800000000000003,6.397654968651489,33.5004478358478,False
line,198,132,134,0.1746,0.3161,1.3389121852281485,2.4239985209084636,False
line,199,132,161,0.0804,0.3054,0.8061498403943637,3.0621661847815758,False
line,200,133,139,0.011,0.0568,3.2862895997896766,16.96920447891397,False
line,201,135,137,0.0008,0.0098,8.274720728175426,101.36532892014895,False
line,202,136,137,0.0029000000000000002,0.028499999999999998,3.5337411351838774,34.72814563887603,False
line,203,136,138,0.0066,0.0448,3.2185701745830495,21.847264215351608,False
line,204,140,142,0.0024000000000000002,0.0326,2.2460974057574967,30.509489761539324,False
line,205,140,143,0.0018000000000000002,0.0245,2.9826509138510997,40.59719299408441,False
line,206,141,142,0.004399999999999999,0.0514,1.653314896367216,19.313724016653392,False
line,207,143,144,0.0002,0.0123,1.3216150135465539,81.27932333311307,False
line,208,145,147,0.0018000000000000002,0.0178,5.623594101474632,55.61109722569358,False
line,209,150,151,0.06689999999999999,0.4843,0.27989043690939036,2.02617247526484,False
line,210,150,152,0.0558,0.221,1.0740137935706993,4.253710544428755,False
line,211,151,152,0.08070000000000001,0.3331,0.6869950224784431,2.8356634694866094,False
line,212,151,153,0.0739,0.30710000000000004,0.7406915914565683,3.078029604009637,False
line,213,151,154,0.1799,0.5017,0.6333015215781916,1.766133259454023,False
line,214,153,154,0.0904,0.36260000000000003,0.6473283527240634,2.596474122762671,False
line,215,153,157,0.077,0.3092,0.7583693443867471,3.045296120576392,False
line,216,154,155,0.0251,0.0829,3.3455871572106064,11.049767941544195,False
line,217,155,156,0.0222,0.0847,2.8955527179718614,11.04744663118093,False
line,218,156,157,0.049800000000000004,0.1855,1.3499487263450627,5.0284234686146405,False
line,219,156,158,0.0061,0.028999999999999998,6.945946869199852,33.02171462406486,False
line,220,159,116,0.0004,0.0202,0.9799118079372857,49.48554630083292,False
line,221,159,165,0.0004,0.0083,5.792903692976105,120.20275162925417,False
line,222,162,163,0.0025,0.0245,4.122011541632316,40.3957131079967,False
line,223,164,166,0.0007,0.0086,9.402283411685694,115.51376762928139,False
line,224,165,166,0.0007,0.0086,9.402283411685694,115.51376762928139,False
line,225,166,116,0.0004,0.0202,0.9799118079372857,49.48554630083292,False
line,226,167,186,0.033,0.095,3.2628040340122606,9.392920703974688,False
line,227,167,187,0.046,0.06899999999999999,6.688963210702342,10.033444816053512,False
line,228,168,209,0.0004,0.0022,80.0,440.0,False
line,229,169,170,0.003,0.048,1.297016861219196,20.752269779507134,False
line,230,170,203,0.002,0.009000000000000001,23.529411764705877,105.88235294117646,False
line,231,171,183,0.045,0.06299999999999999,7.507507507507509,10.51051051051051,False
line,232,171,186,0.047999999999999994,0.127,2.6040253892475445,6.889817175717463,False
line,233,172,197,0.0031,0.0286,3.745906690672692,34.55901011394806,False
line,234,172,241,0.0024,0.03549999999999999,1.895719623067749,28.04085275787712,False
line,235,173,197,0.0031,0.0286,3.745906690672692,34.55901011394806,False
line,236,174,175,0.013999999999999999,0.04,7.795100222717148,22.271714922048996,False
line,237,174,188,0.03,0.08099999999999999,4.020908725371935,10.856453558504223,False
line,238,175,176,0.01,0.06,2.702702702702703,16.216216216216218,False
line,239,175,189,0.015,0.04,8.21917808219178,21.91780821917808,False
line,240,176,181,0.009000000000000001,0.046,4.0964952207555765,20.93764223941739,False
line,241,176,188,0.02,0.073,3.4910106475824754,12.742188863676034,False
line,242,176,189,0.034,0.109,2.607961954437371,8.360819206872748,False
line,243,177,178,0.076,0.135,3.1665347277196783,5.624765634765218,False
line,244,177,188,0.04,0.102,3.332222592469177,8.497167610796401,False
line,245,178,188,0.08099999999999999,0.128,3.530180867291349,5.578557419917194,False
line,246,179,182,0.124,0.183,2.537603601759951,3.7450117671134757,False
line,247,181,189,0.01,0.059,2.792516056967328,16.475844736107234,False
line,248,182,183,0.046,0.06799999999999999,6.8249258160237405,10.089020771513354,False
line,249,183,184,0.302,0.44599999999999995,1.0409485730042742,1.5372949124500208,False
line,250,184,185,0.073,0.09299999999999999,5.222492488195737,6.65331234797539,False
line,251,184,186,0.24,0.421,1.0219680549818815,1.7927022964473838,False
line,252,190,193,0.013900000000000001,0.0778,2.225406456880749,12.455872111174262,False
line,253,192,193,0.0017,0.018500000000000003,4.9255374630584665,53.60143709798921,False
line,254,192,220,0.0015000000000000002,0.010799999999999999,12.61670451678022,90.84027252081756,False
line,255,193,194,0.0045,0.024900000000000002,7.028394714647174,38.890450754381035,False
line,256,194,195,0.004,0.049699999999999994,1.60895221009698,19.991231210454973,False
line,257,195,196,0.0,0.045599999999999995,0.0,21.92982456140351,False
line,258,195,198,0.0026999999999999997,0.0395,1.7224440843614832,25.19871901195504,False
line,259,197,215,0.0003,0.0018000000000000002,90.09009009009006,540.5405405405405,False
line,260,198,196,0.0037,0.0484,1.5702917771883291,20.54111405835544,False
line,261,198,199,0.001,0.029500000000000002,1.147776183644189,33.85939741750358,False
line,262,198,216,0.0015999999999999999,0.0046,67.45362563237774,193.929173693086,False
line,263,199,201,0.00030000000000000003,0.0013,168.53932584269666,730.3370786516854,False
line,264,202,203,0.01,0.064,2.3832221163012393,15.252621544327932,False
line,265,202,204,0.0019000000000000002,0.008100000000000001,27.44871424443802,117.01820283155156,False
line,266,203,169,0.001,0.061,0.2686727565824825,16.389038151531434,False
line,267,206,207,0.0019,0.0087,23.959646910466585,109.70996216897856,False
line,268,206,212,0.0013,0.0288,1.5641355744588692,34.65161888031956,False
line,269,209,215,0.0001,0.0006,270.2702702702703,1621.6216216216217,False
line,270,212,213,0.00019999999999999998,0.0259,0.2981292390251174,38.6077364537527,False
line,271,213,216,0.00019999999999999998,0.0006000000000000001,499.9999999999999,1500.0,False
line,272,218,229,0.00030000000000000003,0.0043,16.146393972012916,231.43164693218512,False
line,273,221,222,0.0127,0.0355,8.93397301518072,24.972916695977602,False
line,274,221,223,0.0326,0.18039999999999998,0.9700383135378072,5.367942078595719,False
line,275,222,224,0.019499999999999997,0.055099999999999996,5.70799646396937,16.12874898280576,False
line,276,223,224,0.015700000000000002,0.07319999999999999,2.80120541043012,13.060397200221956,False
line,277,223,225,0.036,0.21189999999999998,0.7792610916452173,4.586817369989487,False
line,278,224,225,0.026799999999999997,0.1285,1.5553823483835922,7.457710140570582,False
line,279,225,226,0.0428,0.12149999999999998,2.57923152158389,7.321883875524359,False
line,280,226,227,0.0351,0.10039999999999999,3.1028529451024873,8.875397028156401,False
line,281,227,228,0.061599999999999995,0.1857,1.609235338912538,4.851217572013934,False
line,282,174,245,0.0001,0.02,0.2499937501562461,49.998750031249216,False
trafo,0,30,265,5.9999999999999995e-05,0.0004600000000000001,278.8104089219329,2137.5464684014864,False
trafo,1,265,270,0.024389999999999995,0.43682,0.12742508343541334,2.2821576443729916,False
trafo,2,265,272,0.03624,0.64898,0.0857775074702765,1.5360895915579482,False
trafo,3,269,291,0.015780000000000002,0.3748600000000001,0.11209852212661435,2.6629437265134763,False
trafo,4,269,292,0.015780000000000002,0.3748600000000001,0.11209852212661435,2.6629437265134763,False
trafo,5,269,293,0.016020000000000003,0.38046000000000013,0.11047784273764584,2.6237453213461137,False
trafo,6,269,294,0.0,0.152,0.0,6.578947368421052,False
trafo,7,269,295,0.0,0.8,0.0,1.2499999999999998,False
trafo,8,273,274,0.44364000000000003,2.8152,0.05462088790560614,0.34660698681783064,False
trafo,9,266,276,0.50748,3.2202000000000006,0.0477528280629473,0.3030142211088179,False
trafo,10,275,277,0.66688,3.944,0.04168035184885817,0.2465020808719659,False
trafo,11,275,278,0.6113,3.6152000000000006,0.045472267182443904,0.26892089042691186,False
trafo,12,271,296,0.44120000000000004,2.9667999999999997,0.04904096851386641,0.32977050178363293,False
trafo,13,271,297,0.30792,2.057,0.07117786964646504,0.4754899904610892,False
trafo,14,267,279,0.7363299999999999,4.672399999999999,0.03291080432520538,0.20883631269823258,False
trafo,15,267,280,0.7697799999999999,4.8846,0.03148142597239302,0.1997637939472979,False
trafo,16,267,281,0.75732,4.8056,0.03199854659718055,0.20304787345826186,False
trafo,17,268,287,0.36613999999999997,2.456,0.05938052653529811,0.398313686487934,False
trafo,18,268,288,1.0593,5.453600000000001,0.03432168483333187,0.1766985182734435,False
trafo,19,268,289,0.15669999999999998,1.6994000000000002,0.05380229339571695,0.5834819233993709,False
trafo,20,267,282,0.13006,1.3912,0.06661704983448005,0.7125760397487978,False
trafo,21,267,283,0.54484,3.4572000000000003,0.04448006628497393,0.28224154827180803,False
trafo,22,267,284,0.15425999999999998,1.6729000000000003,0.054655795097037815,0.5927244886414793,False
trafo,23,267,285,0.3849,2.5712,0.056944461817839576,0.380399065279369,False
trafo,24,267,286,0.44120000000000004,2.9667999999999997,0.04904096851386641,0.32977050178363293,False
trafo,25,293,299,0.0,0.75,0.0,1.3333333333333333,False
trafo,26,27,26,0.0,0.063,0.0,15.873015873015872,False
trafo,27,35,34,0.0,0.029000000000000005,0.0,34.48275862068965,False
trafo,28,105,104,0.005929868749999999,0.04060034,3.5222389584877574,24.115896203579354,False
trafo,29,107,104,0.011617650750000003,0.11115963008750002,0.9300494660430465,8.898869214881667,False
trafo,30,110,104,0.02033642952,0.17105513734999997,0.6853413730717247,5.764589235643831,False
trafo,31,135,104,0.00504125,0.05020418750000001,1.9801642675878044,19.71981912636317,False
trafo,32,136,104,0.007769388550000002,0.0540374438125,2.6068198183632627,18.130883602689202,False
trafo,33,147,104,0.016663223775,0.11626063376,1.2079878647867714,8.428227132447498,False
trafo,34,111,149,0.00019999999999999998,0.0101,1.9598236158745712,98.97109260166584,False
trafo,35,126,156,0.05259529625999999,0.152980202195,2.009816168711556,5.845809525330243,False
trafo,36,126,157,0.13914172062000005,0.39446099480000013,0.7952778020966708,2.2545795147535257,False
trafo,37,168,218,0.0,0.0275,0.0,36.36363636363637,False
trafo,38,176,180,0.332,0.688,0.5689139911715516,1.178954294957914,False
trafo,39,192,191,0.0025,0.038,1.7238407171177383,26.202378900189622,False
trafo,40,197,195,0.0005000884999999999,0.017701565199999998,1.5946928496569615,56.447127762739,False
trafo,41,215,200,0.0014118733999999998,0.051617800000000005,0.5295073296696522,19.35867864740718,False
trafo,42,209,204,0.0005,0.021199999999999997,1.111877070871045,47.143587804932295,False
trafo,43,209,205,0.0009039506400000001,0.047303556895,0.40382997867167625,21.132342327897764,False
trafo,44,209,206,0.0025999999999999994,0.09170000000000002,0.3089482095857121,10.896365699619158,False
trafo,45,168,207,0.0,0.0626,0.0,15.974440894568689,False
trafo,46,209,210,0.00020094116,0.006916221369999999,4.197248626201419,144.46567663756588,False
trafo,47,210,211,0.0016999999999999997,0.04850000000000001,0.7218254541131309,20.59325560263933,False
trafo,48,215,212,0.0006000000000000001,0.0272,0.8105917319643341,36.74682518238314,False
trafo,49,215,219,0.0005,0.0154,2.106061244260983,64.86668632323827,False
trafo,50,220,223,0.0082,0.0851,1.1218661285357598,11.642781407121115,False
trafo,51,220,225,0.0112,0.07230000000000002,2.0923902382522552,13.507126270146259,False
trafo,52,2,0,0.0,0.052,0.0,19.23076923076923,False
trafo,53,2,1,0.0,0.052,0.0,19.23076923076923,False
trafo,54,3,2,0.0,0.005,0.0,200.0,False
trafo,55,6,4,0.0,0.03900000000000001,0.0,25.64102564102564,False
trafo,56,6,5,0.0,0.03900000000000001,0.0,25.64102564102564,False
trafo,57,9,10,0.0,0.089,0.0,11.235955056179776,False
trafo,58,11,9,0.0,0.053000000000000005,0.0,18.867924528301884,False
trafo,59,14,16,0.0194,0.031099999999999992,14.439143475963299,23.14728670631229,False
trafo,60,15,14,0.001,0.03799999999999999,0.6920415224913499,26.29757785467129,False
trafo,61,19,18,0.0,0.013999999999999999,0.0,71.42857142857143,False
trafo,62,22,21,0.0,0.064,0.0,15.625000000000002,False
trafo,63,29,28,0.0,0.04700000000000001,0.0,21.27659574468085,False
trafo,64,38,37,0.0,0.02,0.0,50.0,False
trafo,65,39,38,0.0,0.021,0.0,47.61904761904762,False
trafo,66,53,52,0.0,0.059000000000000004,0.0,16.94915254237288,False
trafo,67,55,54,0.0,0.038,0.0,26.31578947368421,False
trafo,68,61,60,0.0,0.024400000000000005,0.0,40.98360655737704,False
trafo,69,67,72,0.0,0.02,0.0,50.0,False
trafo,70,69,80,0.0,0.047999999999999994,0.0,20.833333333333336,False
trafo,71,70,82,0.0,0.047999999999999994,0.0,20.833333333333336,False
trafo,72,71,77,0.0,0.046,0.0,21.73913043478261,False
trafo,73,92,185,0.0,0.149,0.0,6.7114093959731544,False
trafo,74,94,102,0.005199999999999999,0.017400000000000002,15.767131594905997,52.75924802910855,False
trafo,75,99,93,0.0,0.027999999999999997,0.0,35.714285714285715,False
trafo,76,135,100,0.0005,0.019499999999999997,1.3140604467805526,51.24835742444154,False
trafo,77,108,109,0.0,0.018,0.0,55.55555555555556,False
trafo,78,108,128,0.0,0.013999999999999999,0.0,71.42857142857143,False
